"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Haiku Undated Monthly Planner | Monthly View | Green · International - Planner","B0GJT1DK7K","1480202","Finocam","Akademiska planerare och utnämningsböcker","22903000","3","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Capri Weekly Planner 16-Month | Weekly View Horizontal Layout · September 2026 to December 2027 | Happy · International - Week-to-view diary","B0GJT1MPDL","627320327","Finocam","Planerare och personliga arrangörer","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Green · International - Planner","B0GJT2SKB5","1480302","Finocam","Akademiska planerare och utnämningsböcker","22903000","6","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mínimal Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Girl · International - Week-to-view diary","B0GJT4J9FN","636100527","Finocam","Planerare och personliga arrangörer","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Stickers Set F13 | Fun - Personal organisation - Stickers","B0GJT4X4ML","1501313","Finocam","Självklistermärken och flaggor","Office Organization","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Weekly Planner 18-Month | Weekly View Vertical Layout · July 2026 to December 2027 | Girl · International - Week-to-view diary","B0GJT5X8Y8","636300527","Finocam","Planerare och personliga arrangörer","Office Organization","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Blue · International - Planner","B0GJT6GKHR","1480103","Finocam","Akademiska planerare och utnämningsböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mínimal Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Daisy · International - Week-to-view diary","B0GJT7CD83","636101227","Finocam","Planerare och personliga arrangörer","Office Organization","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Weekly Planner 16-Month | Weekly View Vertical Layout · September 2026 to December 2027 | Burgundy · International - Week-to-view diary","B0GJT88P6D","626700427","Finocam","Planerare och personliga arrangörer","Office Organization","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Weekly Planner 18-Month | Weekly View Vertical Layout · July 2026 to December 2027 | Pretty · International - Week-to-view diary","B0GJTBHR9G","636300927","Finocam","Planerare och personliga arrangörer","Office Organization","2","0","0.00","0.00","0","0","0.00","0","0","0"
