"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Spiral Planner 2026 Vertical Week to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Spiral Alma - Coral - International","B0F9LGZJR2","762100526","Finocam","Office-kalendrar","Office Organization","2","0","129.78","0.00","1","0","129.78","0","50","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Black | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV642H4Y","8058101","Finocam","Anteckningsböcker och kompositionböcker","22903000","10","0","105.12","0.00","1","0","105.12","0","10","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Black · International - Planner","B0GJSTMQJV","1480101","Finocam","Akademiska planerare och utnämningsböcker","22903000","6","0","87.60","0.00","2","0","43.80","0","33.3","0"
"Finocam Set of sticky notes Talkual - Personal Organisation","B08D3QC7MF","7865100","Finocam","Anteckningsböcker och kompositionböcker","22903000","4","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Black | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5RRRB2","8058001","Finocam","Anteckningsböcker och kompositionböcker","22903000","5","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Navy Blue | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5RV4DS","8058102","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","2","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Minimal 18-month Planner 2025-2026 Horizontal Week View July 2025 – December 2026 (18 months) Pretty International","B0DV5RVY3Y","636100926","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","2","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Zipper Document Holder Nopal Olive Green","B0DV5S2Z1M","5098302","Finocam","filmappar, bärbara & lagringsfiler","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Horizontal Ruled Black | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Taking Notes and Writing","B0DV5S69BB","8059101","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Hard Cover Plain Pink | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5S7BYZ","8054205","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
