"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"FINOCAM – Nexo Notebook Soft Cover Horizontal Ruled Black | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Taking Notes and Writing","B0DV5S69BB","8059101","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","0","105.12","0.00","1","0","105.12","0","50","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Pink | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5T33V8","8058105","Finocam","Anteckningsböcker och kompositionböcker","22903000","4","7","105.12","0.00","1","0","105.12","0","25","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Black | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV642H4Y","8058101","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","2","105.12","0.00","1","0","105.12","0","50","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Black · International - Planner","B0GJT13SGR","1480301","Finocam","Akademiska planerare och utnämningsböcker","22903000","5","0","96.36","0.00","1","0","96.36","0","20","0"
"Finocam Lined Notebook - Horizontal Ruling","B09X1BNW5L","5099407","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Horizontal Ruled Camel | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing","B0DV5QB5K2","8059006","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","1","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Hard Cover Plain Camel | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5RB9X7","8054206","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Hard Cover Plain Camel | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5RGCNR","8054106","Finocam","Anteckningsböcker och kompositionböcker","22903000","4","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Black | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5RRRB2","8058001","Finocam","Anteckningsböcker och kompositionböcker","22903000","3","3","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Hard Cover Plain Black | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5RT5F9","8054101","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Plain Camel | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5RXRMG","8057106","Finocam","Anteckningsböcker och kompositionböcker","22903000","4","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Horizontal Ruled Camel | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Taking Notes and Writing","B0DV5S8FGS","8059106","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Plain Dark Green | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5S8N2P","8057110","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Turquoise | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5SD5LQ","8058004","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Plain Yellow | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5SRF1P","8057108","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","1","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Turquoise | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5T6247","8058104","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","1","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Red | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5XM31W","8058003","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Pink | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV642N1Q","8058005","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Hard Cover Plain Yellow | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV6437CK","8054108","Finocam","Anteckningsböcker och kompositionböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Camel | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV6CX3K6","8058006","Finocam","Anteckningsböcker och kompositionböcker","22903000","3","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM – Nexo Notebook Hard Cover Plain Dark Green | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV6CXHS5","8054110","Finocam","Anteckningsböcker och kompositionböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Wall Calendar 2026 18x18 cm Month to View January - December 2026 + Sep.- Dec. 2025 (4 months) reduced | Calendar 2026 | Images Madrid - International","B0F9LB43TP","781235726","Finocam","Office-kalendrar","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner Month to View 2026 Month to View January 2026 – December 2026 (12 months) Grey International","B0F9LBV1D3","625535026","Finocam","Office-kalendrar","Office Organization","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiral Planner 2026 Vertical Week to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Spiral Alma - Coral - International","B0F9LGZJR2","762100526","Finocam","Office-kalendrar","Office Organization","8","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Weekly Planner 16-Month | Weekly View Vertical Layout · September 2026 to December 2027 | Black · International - Week-to-view diary","B0GJSPSHJ7","626700127","Finocam","Planerare och personliga arrangörer","Office Organization","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Daily Planner 18-Month | 1 Day per Page · July 2026 to December 2027 | Pretty · International - Day-to-page diary","B0GJSSNL18","636310927","Finocam","Planerare och personliga arrangörer","Office Organization","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Black · International - Planner","B0GJSWVPBM","1480201","Finocam","Akademiska planerare och utnämningsböcker","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Event Guest Book | Brown","B0GJSX5C2F","8525102","Finocam","Gästregisterböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Blue · International - Planner","B0GJSXHGWN","1480303","Finocam","Akademiska planerare och utnämningsböcker","22903000","2","0","0.00","0.00","0","0","0.00","0","0","0"
