"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Happy","B0GJT1MPDL","B0GJT1MPDL","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","2478","0","99.8","0","329.61","0.00","27","0","12.21","0","1.1","0"
"APS misurino Circa Diametro 12 cm, Altezza 17 cm Circa 1L, Polipropilene (PP) Maniglia Chiusa, Goffrato Mass skalierung","B004LO9F1G","B004LO9F1G","APS","32809430","32809400","195","57","100","0","278.66","76.20","37","10","7.53","0","19","17.5"
"Aps SERVIER/Trasporto Macchina Circa 108 x 50 cm, Altezza 96 cm in Polipropilene, Colore Grigio Alluminio, 3 Ripiani","B005NYMXPI","B005NYMXPI","APS","32809430","32809400","17","9","81","0","223.86","0.00","2","0","111.93","0","11.8","0"
"Vaso di conservazione APS""Classic"" - in vetro di alta qualità con una capacità di 2,0 litri - il coperchio con guarnizione mantiene i vostri prodotti freschi","B07W86HWQ2","B07W86HWQ2","APS","Altro","32809400","94","219","85.1","0","218.69","107.77","9","5","24.30","0","9.6","2.3"
"Finocam Event Libro delle Firme | Marrone","B0GJSX5C2F","B0GJSX5C2F","finocam","Organizer personali","Organizzazione dell'ufficio","60","0","85.7","0","148.06","0.00","5","0","29.61","0","8.3","0"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Girl","B0GJT5X8Y8","B0GJT5X8Y8","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","892","0","100","0","129.06","0.00","9","0","14.34","0","1","0"
"APS Vaso portaoggetti classico, contenitore in vetro di alta qualità da 0,9 l, mantiene i tuoi prodotti freschi attraverso il coperchio in vetro con contenitore di tenuta","B07W738MXS","B07W738MXS","APS","Altro","32809400","258","502","100","0","124.08","246.68","10","26","12.41","0","3.9","5.2"
"Finocam Dotted Agenda Settimanale 16 Mesi 2026 2027| Gala","B0GJSTYCBJ","B0GJSTYCBJ","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","952","0","100","0","101.60","0.00","8","0","12.70","0","0.8","0"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Pretty","B0GJTBHR9G","B0GJTBHR9G","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","531","0","100","0","100.38","0.00","7","0","14.34","0","1.3","0"
"Finocam Mara Agenda Giornaliera 18 Mesi 2026 2027 | Pretty","B0GJSSNL18","B0GJSSNL18","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","311","0","100","0","98.35","0.00","5","0","19.67","0","1.6","0"
"Finocam Mara Agenda Giornaliera 18 Mesi 2026 2027 | Daisy","B0GJT2N36W","B0GJT2N36W","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","368","0","100","0","98.35","0.00","5","0","19.67","0","1.4","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Daisy","B0GJT7CD83","B0GJT7CD83","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","308","0","100","0","83.60","0.00","6","0","13.93","0","1.9","0"
"Finocam Jazz Libro delle Firme | Crema","B0GJT12GDT","B0GJT12GDT","finocam","Organizer personali","Organizzazione dell'ufficio","49","0","91.1","0","81.15","0.00","3","0","27.05","0","6.1","0"
"Finocam Dotted Agenda Settimanale 16 Mesi 2026 2027| Bloom","B0GJT2872V","B0GJT2872V","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","543","0","99.8","0","76.20","0.00","6","0","12.70","0","1.1","0"
"APS Vasetto portaoggetti Classico, Barattolo di Alta qualità da 4,0 Litri, Mantiene i Tuoi Prodotti freschi Attraverso Il Coperchio in Vetro con Contenitore di Tenuta","B07WCD2GYV","B07WCD2GYV","APS","Altro","32809400","39","40","91.7","0","73.53","33.52","2","1","36.77","0","5.1","2.5"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Girl","B0GJT4J9FN","B0GJT4J9FN","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","173","0","100","0","69.66","0.00","5","0","13.93","0","2.9","0"
"Zuccheriera APS, zuccheriera con coperchio avvolgibile, in acciaio inox, 14 x 14 cm, altezza 14 cm","B000VJ6G0S","B000VJ6G0S","APS","32809430","32809400","28","0","100","0","66.88","0.00","4","0","16.72","0","14.3","0"
"Finocam - Rubrica telefonica a doppia spirale con chiusura a elastico | 48 fogli | Agenda A5 con rubrica telefonica rilegata a doppia spirale - colore Nero","B00CP43UVA","B00CP43UVA","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","83","29","100","0","66.01","18.86","7","2","9.43","0","8.4","6.9"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Magenta","B01D025HWK","B01D025HWK","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","102","42","100","0","66.01","18.86","7","2","9.43","0","6.9","4.8"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Giungla","B0GJT13HPB","B0GJT13HPB","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","499","0","99.6","0","61.50","0.00","5","0","12.30","0","1","0"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Magenta","B07P6G7LZ7","B07P6G7LZ7","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","98","47","100","0","56.58","18.86","6","2","9.43","0","6.1","4.3"
"Finocam Ikon Agenda 16 Mesi 2026 2027 | Nero","B0GJSS4V36","B0GJSS4V36","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","50","0","97.6","0","54.09","0.00","3","0","18.03","0","6","0"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Power","B0GJSTVNYG","B0GJSTVNYG","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","717","0","100","0","49.19","0.00","4","0","12.30","0","0.6","0"
