"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Happy","B0GJT1MPDL","B0GJT1MPDL","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","9079","0","100","0","971.86","0.00","93","0","10.45","0","1","0"
"Finocam Dotted Agenda Settimanale 16 Mesi 2026 2027| Gala","B0GJSTYCBJ","B0GJSTYCBJ","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","2740","0","100","0","745.22","0.00","69","0","10.80","0","2.5","0"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Power","B0GJSTVNYG","B0GJSTVNYG","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","2714","0","100","0","574.75","0.00","55","0","10.45","0","2","0"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Girl","B0GJT5X8Y8","B0GJT5X8Y8","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","2014","0","100","0","536.79","0.00","44","0","12.20","0","2.2","0"
"Finocam Capri Agenda Settimanale 16 Mesi 2026 2027| Giungla","B0GJT13HPB","B0GJT13HPB","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1915","0","100","0","512.05","0.00","49","0","10.45","0","2.6","0"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Pretty","B0GJTBHR9G","B0GJTBHR9G","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1372","0","100","0","500.19","0.00","41","0","12.20","0","3","0"
"Finocam Dotted Agenda Settimanale 16 Mesi 2026 2027| Bloom","B0GJT2872V","B0GJT2872V","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1307","0","100","0","345.64","0.00","32","0","10.80","0","2.4","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Daisy","B0GJT7CD83","B0GJT7CD83","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","1109","0","100","0","319.70","0.00","27","0","11.84","0","2.4","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Daisy","B0GJT5BXLY","B0GJT5BXLY","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","366","0","100","0","264.68","0.00","19","0","13.93","0","5.2","0"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Nero","B07P6G6T1T","B07P6G6T1T","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","298","125","100","0","264.31","56.58","33","6","8.01","0","11.1","4.8"
