"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Rubrica telefonica a doppia spirale con chiusura a elastico | 48 fogli | Agenda A5 con rubrica telefonica rilegata a doppia spirale - colore Magenta","B00CP46HV0","B00CP46HV0","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","89","44","100","0","80.09","18.86","10","2","8.01","0","11.2","4.5"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Rubrica A5 alfabetica a doppia spirale - colore Magenta","B07P6G7LZ7","B07P6G7LZ7","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","176","73","100","0","74.93","28.29","9","3","8.33","0","5.1","4.1"
"APS Vassoio fast food, infrangibile e lavabile in lavastoviglie, prodotto in Germania, 45 x 35,5 cm, altezza 2 cm, nero","B004LOD8FU","B004LOD8FU","APS","32809430","32809400","86","22","87.3","0","74.45","0.00","5","0","14.89","0","5.8","0"
"Finocam Jazz Libro delle Firme | Crema","B0GJT12GDT","B0GJT12GDT","finocam","Organizer personali","Organizzazione dell'ufficio","63","0","100","0","68.97","0.00","3","0","22.99","0","4.8","0"
"Finocam Espiral Agenda Settimanale 18 Mesi 2026 2027 | Pretty","B0GJSX425K","B0GJSX425K","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","392","0","100","0","68.25","0.00","7","0","9.75","0","1.8","0"
"Vaso di conservazione APS""Classic"" - in vetro di alta qualità con una capacità di 2,0 litri - il coperchio con guarnizione mantiene i vostri prodotti freschi","B07W86HWQ2","B07W86HWQ2","APS","Altro","32809400","108","343","90.3","0","66.69","235.66","3","11","22.23","0","2.8","3.2"
"APS Vassoio Fast Food, infrangibile e Lavabile in lavastoviglie, Prodotto in Germania, 35 x 27 cm, Altezza 2 cm, Nero, 531, 35 x 27 cm, h: 2 cm","B004LOD80U","B004LOD80U","APS","32809430","32809400","161","322","100","0","65.68","71.17","8","11","8.21","0","5","3.4"
"Finocam Mara Agenda Settimanale 18 Mesi 2026 2027 | Nero","B0GJT4P82S","B0GJT4P82S","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","420","0","100","0","63.14","0.00","5","0","12.63","0","1.2","0"
"Finocam Calendario da Parete per Scrivere 2027 | Art Sarah Meyer-Delius - Lingua: Italiano - Calendario mensile - Pianificazione e Organizzazione","B0H39593N7","B0H39593N7","finocam","calendari","Organizzazione dell'ufficio","15","0","100","0","61.50","0.00","6","0","10.25","0","40","0"
"Finocam Espiral Agenda Settimanale 18 Mesi 2026 2027 | Daisy","B0GJT24P8W","B0GJT24P8W","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","313","0","100","0","58.50","0.00","6","0","9.75","0","1.9","0"
"APS - Barattolo in Vetro","B07W99TKXC","B07W99TKXC","APS","Altro","32809400","1","9","0","0","58.29","0.00","3","0","19.43","0","300","0"
"Finocam - Rubrica alfabetica a doppia spirale con chiusura a elastico | 48 fogli | Piccola rubrica alfabetica a doppia spirale 10 x 15 cm - colore Magenta","B07P6G7LYZ","B07P6G7LYZ","finocam","Blocchi appunti, taccuini e diari","Archivio ufficio e accessori per scrivania","116","54","100","0","56.99","0.00","8","0","7.12","0","6.9","0"
"Finocam - Portadocumenti A5 NOPAL - Nero | Cartella con Cerniera - Tasca interna per tablet | Cartella per appunti | Portadocumenti BIOMATERIALE - BASE CACTUS","B0DV5SNSCV","B0DV5SNSCV","finocam","22903151","Archivio ufficio e accessori per scrivania","48","0","100","0","55.74","0.00","2","0","27.87","0","4.2","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Daisy","B0GJT5BXLY","B0GJT5BXLY","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","316","0","100","0","55.72","0.00","4","0","13.93","0","1.3","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Pretty","B0GJT6TSSN","B0GJT6TSSN","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","231","0","100","0","55.72","0.00","4","0","13.93","0","1.7","0"
"Finocam Event Libro delle Firme | Marrone","B0GJSX5C2F","B0GJSX5C2F","finocam","Organizer personali","Organizzazione dell'ufficio","61","0","100","0","52.96","0.00","2","0","26.48","0","3.3","0"
"Finocam Mara Agenda Giornaliera 18 Mesi 2026 2027 | Pretty","B0GJSSNL18","B0GJSSNL18","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","591","0","100","0","50.16","0.00","3","0","16.72","0","0.5","0"
"APS misurino Circa Diametro 9,5 cm, Altezza 14 cm ca. 0,5L, Polipropilene (PP) Maniglia Chiusa, Goffrato Mass skalierung","B004LOB8EI","B004LOB8EI","APS","32809430","32809400","30","12","100","0","48.72","0.00","4","0","12.18","0","13.3","0"
"Finocam Ikon Agenda Giornaliera 16 Mesi 2026 2027 | Bordeaux","B0GJSRYFXP","B0GJSRYFXP","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","203","0","100","0","48.69","0.00","3","0","16.23","0","1.5","0"
"APS Borraccia in Acciaio Inox Resistente di Alta qualità, Bottiglia d'Acqua da 500 ml con Maniglia per Il Trasporto e Guarnizione di sostituto/Bottiglia a Doppia Parete.","B09BZ58JB3","B09BZ58JB3","APS","Altro","32809400","66","35","100","0","48.32","13.64","4","1","12.08","0","6.1","2.9"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Pretty","B0GJT8HNSX","B0GJT8HNSX","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","300","0","100","0","47.36","0.00","4","0","11.84","0","1.3","0"
"Finocam Mínimal Agenda Settimanale 18 Mesi 2026 2027 | Girl","B0GJSY5V4L","B0GJSY5V4L","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","229","0","100","0","44.25","0.00","3","0","14.75","0","1.3","0"
"Finocam Ikon Agenda 16 Mesi 2026 2027 | Nero","B0GJSPSHJ7","B0GJSPSHJ7","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","368","0","99.7","0","42.19","0.00","4","0","10.55","0","1.1","0"
"APS Vassoio fast food, infrangibile e lavabile in lavastoviglie, prodotto in Germania, 41 x 12 cm, altezza 2 cm, nero, 536, 41 x 12 cm, h: 2 cm","B004LOBCJO","B004LOBCJO","APS","32809430","32809400","32","120","82.8","0","39.38","112.44","3","11","13.13","0","9.4","9.2"
"APS Vassoio fast food, infrangibile e lavabile in lavastoviglie, prodotto in Germania, 53 x 32,5 cm, altezza 2 cm (GN 1/1), rosso, 552, 53 x 32,5 cm, h: 2 cm","B06XPL88X5","B06XPL88X5","APS","32809430","32809400","15","20","74.1","0","38.34","0.00","2","0","19.17","0","13.3","0"
"APS Vasetto portaoggetti Classico, Barattolo di Alta qualità da 4,0 Litri, Mantiene i Tuoi Prodotti freschi Attraverso Il Coperchio in Vetro con Contenitore di Tenuta","B07WCD2GYV","B07WCD2GYV","APS","Altro","32809400","48","84","90.9","0","35.41","0.00","1","0","35.41","0","2.1","0"
"APS Vassoio fast food, infrangibile e lavabile in lavastoviglie, prodotto in Germania, 53 x 32,5 cm, altezza 2 cm (GN 1/1), grigio","B06XPJLTTL","B06XPJLTTL","APS","32809430","32809400","82","52","90.7","0","35.02","0.00","2","0","17.51","0","2.4","0"
"finocam Taccuino Nexo Copertina Morbida Dotted Nero, Taccuino A5 con Fogli Microforati, Tasca e Portapenna, 72 Fogli, Ideale per Bullet Journal","B0DV642H4Y","B0DV642H4Y","finocam","22903203","Archivio ufficio e accessori per scrivania","127","53","100","0","34.92","0.00","4","0","8.73","0","3.1","0"
"APS Miscelatore con Coperchio - brocca dosatrice con Scala per liquidi (l/ml), Zucchero (g) e Farina (g) /Volume 1 litro/Diametro 12,5 cm/Altezza 16 cm/Lavabile in lavastoviglie...","B096Y2Y546","B096Y2Y546","APS","Altro","32809400","32","41","100","0","33.62","18.06","2","1","16.81","0","6.3","2.4"
"Finocam Calendario Frigorifero da Parete con Calamita 2027 | Design - Lingua: Italiano - Calendario mensile - Pianificazione e Organizzazione","B0H394P8XQ","B0H394P8XQ","finocam","calendari","Organizzazione dell'ufficio","56","0","100","0","32.80","0.00","4","0","8.20","0","7.1","0"
"Finocam - Calendario da parete 2026 per scrivere Due Colonne Layout Mensile Gennaio - Dicembre 2026 12 mesi | Calendario 2026 per annotazioni | Planner mensile Neutro - Italiano, Muro Due Colonne","B0FG392CPV","B0FG392CPV","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","87","23","98.7","0","29.78","5.98","5","1","5.96","0","5.7","4.3"
"APS Lattiera, set da 4, caraffe piccole per caffè panna/latte, caraffa per crema, capacità 25 ml ciascuna, acciaio inossidabile Articolo: Ø 3,5 cm, H: 3,5 cm","B004LO9D0E","B004LO9D0E","APS","32809430","32809400","13","4","100","0","29.32","0.00","2","0","14.66","0","15.4","0"
"Finocam Espiral Agenda Settimanale 18 Mesi 2026 2027 | Azzurro","B0GJT3XJSG","B0GJT3XJSG","finocam","Diari per appuntamenti e agende","Archivio ufficio e accessori per scrivania","169","0","100","0","29.25","0.00","3","0","9.75","0","1.8","0"
"finocam Taccuino Nexo Copertina Morbida Pagine Bianche Blu Marino, Taccuino A5 con Fogli Microforati, Tasca e Portapenna, 72 Fogli, Ideale per Scrivere e Disegnare","B0DV68CNCV","B0DV68CNCV","finocam","22903203","Archivio ufficio e accessori per scrivania","66","17","100","0","28.03","9.84","3","1","9.34","0","4.5","5.9"
"Finocam - Portadocumenti A5 NOPAL - Blu Marino | Cartella con Cerniera - Tasca interna per tablet | Cartella per appunti | Portadocumenti BIOMATERIALE - BASE CACTUS","B0DV5QRH5G","B0DV5QRH5G","finocam","22903151","Archivio ufficio e accessori per scrivania","42","0","100","0","27.87","0.00","1","0","27.87","0","2.4","0"
"Finocam Calendario da Parete per Scrivere 2027 | Neutro - Lingua: Italiano - Calendario mensile - Pianificazione e Organizzazione","B0H393P86Y","B0H393P86Y","finocam","calendari","Organizzazione dell'ufficio","40","0","100","0","27.54","0.00","6","0","4.59","0","15","0"
"Finocam Event Libro delle Firme | Azzurro","B0GJSXBT2B","B0GJSXBT2B","finocam","Organizer personali","Organizzazione dell'ufficio","57","0","100","0","26.48","0.00","1","0","26.48","0","1.8","0"
"Finocam Calendario da Tavolo per Scrivere 2027 | Neutro - Lingua: Italiano - Calendario mensile - Pianificazione e Organizzazione","B0H393B1X3","B0H393B1X3","finocam","calendari","Organizzazione dell'ufficio","15","0","100","0","25.41","0.00","5","0","5.08","0","33.3","0"
