"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Dotted Agenda Semainier 16 mois 2026 2027 | Bloom","B0GJT2872V","B0GJT2872V","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","236","0","100","0","87.84","0.00","8","0","10.98","0","3.4","0"
"Finocam Calendrier de Bureau International 2027 | Photos Charming","B0GYNL52LG","B0GYNL52LG","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","112","0","100","0","77.04","0.00","12","0","6.42","0","10.7","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | 2 Jours par Page| Daisy","B0GJT23N8Z","B0GJT23N8Z","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","210","0","100","0","70.85","0.00","5","0","14.17","0","2.4","0"
"Finocam Calendrier Mural 2027 | Design · Langue: Français","B0H39C9QBQ","B0H39C9QBQ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","86","0","100","0","70.80","0.00","10","0","7.08","0","11.6","0"
"Finocam Espiral Agenda Semainier 18 mois 2026 2027 | Girl","B0GJST9G3G","B0GJST9G3G","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","508","0","100","0","69.44","0.00","7","0","9.92","0","1.4","0"
"Finocam Calendrier Mural 2027 | Art Sarah Meyer–Delius · Langue: Français","B0H395Y35K","B0H395Y35K","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","46","0","100","0","62.52","0.00","6","0","10.42","0","13","0"
"Finocam Calendrier Mural 2027 | Neutre · Langue: Français","B0H394LVRP","B0H394LVRP","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","33","0","100","0","58.30","0.00","10","0","5.83","0","30.3","0"
"Finocam - Agenda non daté Mytime Semaine sur 2 pages Présentation verticale International","B0BS49SS5T","B0BS49SS5T","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","418","363","100","0","56.67","139.11","8","17","7.08","0","1.9","4.7"
"Finocam Dotted Agenda Semainier 16 mois 2026 2027 | Noir","B0GJSV82XJ","B0GJSV82XJ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","86","0","100","0","54.90","0.00","5","0","10.98","0","5.8","0"
"Finocam Spirale Agenda Journalier 2027| Camila · Langue: Français","B0H395Z2X4","B0H395Z2X4","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","25","0","100","0","50.01","0.00","3","0","16.67","0","12","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Pretty","B0GJT8HNSX","B0GJT8HNSX","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","141","0","100","0","48.18","0.00","4","0","12.04","0","2.8","0"
"Finocam Mínimal Agenda 18 meses 2026 2027 Semanal · Girl · Internacional","B0GJT4J9FN","B0GJT4J9FN","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","146","0","100","0","48.16","0.00","4","0","12.04","0","2.7","0"
"Finocam Haiku Planner semainier Non daté | Vue hebdomadaire verticale | Vert · International - Planner","B0GJT2SKB5","B0GJT2SKB5","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","130","0","100","0","46.74","0.00","6","0","7.79","0","4.6","0"
"Finocam Calendrier Mural International 2027 | Photos Nature","B0GYNRKJQR","B0GYNRKJQR","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","59","0","100","0","46.65","0.00","5","0","9.33","0","8.5","0"
"Finocam – Calendrier magnétique 2026 1 Mois par page Janvier – Décembre 2026 (12 mois) | Calendrier 2026 pour noter | Planificateur mensuel Neutre – Français","B0FG3877BB","B0FG3877BB","Finocam","Calendriers, agendas & organiseurs - Organisateurs de bureau","Organisateurs de bureau","168","156","100","0","45.28","73.37","7","11","6.47","0","4.2","7.1"
"Finocam Espiral Agenda 18 mois 2026 2027 | 2 Jours par Page| Noir","B0GJT2SJZK","B0GJT2SJZK","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","135","0","99.1","0","42.50","0.00","3","0","14.17","0","2.2","0"
"Finocam – Agenda non daté Mytime 1 jour par page International","B0BS4996B7","B0BS4996B7","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","166","141","100","0","42.49","62.50","4","5","10.62","0","2.4","3.5"
"Finocam Calendrier Mural 2027 | Art Moniquilla · Langue: Français","B0H3919QQ9","B0H3919QQ9","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","112","0","100","0","41.68","0.00","4","0","10.42","0","3.6","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Bleu","B0GJT25LQ1","B0GJT25LQ1","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","75","0","100","0","36.13","0.00","3","0","12.04","0","4","0"
"Finocam Mara Agenda Journalier 18 mois 2026 2027| Pretty","B0GJSSNL18","B0GJSSNL18","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","95","0","100","0","34.00","0.00","2","0","17.00","0","2.1","0"
"Finocam Calendrier Mural International 2027 | Photos Charming","B0GYNTQ64T","B0GYNTQ64T","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","78","0","100","0","33.35","0.00","5","0","6.67","0","6.4","0"
"Finocam Calendrier Mural International 2027 | Photos Nature","B0GYNX1QXF","B0GYNX1QXF","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","117","0","100","0","33.35","0.00","5","0","6.67","0","4.3","0"
"Finocam Calendrier Mural 2027 | Art Phrases inspirantes · Langue: Français","B0H39CBP6C","B0H39CBP6C","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","56","0","100","0","31.26","0.00","3","0","10.42","0","5.4","0"
"Finocam Spirale Agenda Semainier 2027 | Flora · Langue: Français","B0H39C9P6K","B0H39C9P6K","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","59","0","100","0","30.75","0.00","3","0","10.25","0","5.1","0"
"Finocam Mínimal Agenda 18 meses 2026 2027 Semanal · Girl · Internacional","B0GJSY5V4L","B0GJSY5V4L","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","40","0","100","0","28.34","0.00","2","0","14.17","0","5","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Noir","B0GJT64GM9","B0GJT64GM9","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","38","0","100","0","28.34","0.00","2","0","14.17","0","5.3","0"
"Finocam Calendrier Mural International 2027 | Photos Traveling","B0GYNP9HR2","B0GYNP9HR2","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","46","0","100","0","27.99","0.00","3","0","9.33","0","6.5","0"
"Finocam Event Livre d’or | Marron","B0GJSX5C2F","B0GJSX5C2F","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","41","0","100","0","26.92","0.00","1","0","26.92","0","2.4","0"
"Finocam Event Livre d’or | Bleu","B0GJSXBT2B","B0GJSXBT2B","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","6","0","100","0","26.92","0.00","1","0","26.92","0","16.7","0"
"Finocam Calendrier Mural 2027 | Neutre · Langue: Français","B0H39BWXX5","B0H39BWXX5","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","6","0","100","0","26.65","0.00","5","0","5.33","0","83.3","0"
"Finocam Haiku Planner semainier Non daté | Vue hebdomadaire verticale | Noir · International - Planner","B0GJT13SGR","B0GJT13SGR","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","24","0","100","0","23.38","0.00","3","0","7.79","0","12.5","0"
"Finocam Moniquilla Carnet Couverture Rigide | Rouge - Cahier","B0GJSYG9MP","B0GJSYG9MP","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","23","0","100","0","21.82","0.00","2","0","10.91","0","8.7","0"
"Finocam Calendrier de Bureau 2027 | Neutre · Langue: Français","B0H394GTM5","B0H394GTM5","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","24","0","100","0","20.68","0.00","4","0","5.17","0","16.7","0"
"Finocam Spirale Agenda Semainier 2027 | Camila · Langue: Français","B0H3939TX3","B0H3939TX3","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","22","0","100","0","20.50","0.00","2","0","10.25","0","9.1","0"
"Finocam Spirale Agenda Semainier 2027 | Maintenant · Langue: Français","B0H395ZVS2","B0H395ZVS2","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","24","0","100","0","20.50","0.00","2","0","10.25","0","8.3","0"
"Finocam Calendrier Mural International 2027 | Photos Cats","B0GYP2V31W","B0GYP2V31W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","72","0","100","0","20.01","0.00","3","0","6.67","0","4.2","0"
"Finocam Mara Agenda Journalier 18 mois 2026 2027 | Daisy","B0GJT2N36W","B0GJT2N36W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","78","0","96.4","0","20.00","0.00","1","0","20.00","0","1.3","0"
"Finocam Calendrier de Bureau International 2027 | Photos Cats","B0GYNS9D5R","B0GYNS9D5R","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","62","0","100","0","19.26","0.00","3","0","6.42","0","4.8","0"
"Finocam Calendrier Mural International 2027 | Photos Charming","B0GYNTYRKM","B0GYNTYRKM","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","65","0","100","0","18.67","0.00","2","0","9.34","0","3.1","0"
"Finocam Calendrier Mural International 2027 | Photos Dogs","B0GYP2XVQX","B0GYP2XVQX","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","29","0","100","0","18.66","0.00","2","0","9.33","0","6.9","0"
"Finocam – Cahier Nexo Couverture Souple Dotted-Pointillé Bleu marine | Cahier A5 à Feuilles Microperforées | Pochette et Passant pour stylo | 72 Feuilles, Idéal pour Bullet Journal","B0DV5RV4DS","B0DV5RV4DS","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","3","0","100","0","17.00","0.00","2","0","8.50","0","66.7","0"
"Finocam Mara Agenda Journalier 18 mois 2026 2027 | Noir","B0GJT3MCGM","B0GJT3MCGM","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","150","0","100","0","17.00","0.00","1","0","17.00","0","0.7","0"
"Finocam Spirale Agenda Journalier 2027| Impossible · Langue: Français","B0H38X84KR","B0H38X84KR","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","42","0","100","0","16.67","0.00","1","0","16.67","0","2.4","0"
"Finocam Calendrier de Bureau 2027 | Design · Langue: Français","B0H397GZCN","B0H397GZCN","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","22","0","100","0","16.66","0.00","2","0","8.33","0","9.1","0"
"Finocam – Calendrier de bureau pour noter 2026 1 Mois par page Janvier – Décembre 2026 (12 mois) | Calendrier 2026 | Planificateur mensuel Neutre – Français","B0FG397PVK","B0FG397PVK","Finocam","Calendriers, agendas & organiseurs - Organisateurs de bureau","Organisateurs de bureau","120","63","99","0","15.00","45.00","3","9","5.00","0","2.5","14.3"
"Finocam Calendrier de Bureau à Gros Chiffres 2027 | Neutre · Français","B0H395BYC8","B0H395BYC8","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","71","0","100","0","14.76","0.00","3","0","4.92","0","4.2","0"
