"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Agenda 2022 Semainier horizontal, de Janvier 2022 à Décembre 2022 (12 mois) E10-155x212 mm Spirale Design Collection Moment International","B096S6ZCJ7","B096S6ZCJ7","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1","2","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda 2022 Journalier, de Janvier 2022 à Décembre 2022 (12 mois) E10-155x212 mm Spirale Opaque Rose International","B096S7TWDQ","B096S7TWDQ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda 2022-2023 Spirale 18 mois Semaine sur 2 pages Présentation horizontale Juillet 2022 – Décembre 2023 (18 mois) Noir International","B09QXBBXNF","B09QXBBXNF","Finocam","Agendas et organisateurs personnels","Organisateurs de bureau","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda 2022-2023 Mara 18 mois 1 jour par page Juillet 2022 – Décembre 2023 (18 mois) Girl International PETIT (Y4-120 x 170 mm)","B09R1T8NMM","B09R1T8NMM","Finocam","Agendas et organisateurs personnels","Organisateurs de bureau","0","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda 2022-2023 Spirale 18 mois 2 jours par page Juillet 2022 – Décembre 2023 (18 mois) Geometric International","B09R1VC6YP","B09R1VC6YP","Finocam","Agendas et organisateurs personnels","Organisateurs de bureau","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda 2022 2023 Vitae 16 mois Semaine sur 2 pages Présentation horizontale Septembre 2022 – Décembre 2023 (16 mois) Bleu Français","B09TRGVZRP","B09TRGVZRP","Finocam","Carnets de rendez-vous mensuels et planificateurs","Fournitures de bureau","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda Hebdomadaire 2023 Spirale Design Collection Janvier 2023 - Décembre 2023 (12 mois) Forêt International - Moyen (E10-155x212 mm)","B0B1QDFR8T","B0B1QDFR8T","Finocam","Calendriers, agendas & organiseurs - Organisateurs de bureau","Organisateurs de bureau","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Agenda non daté Mytime Semaine sur 2 pages Présentation verticale International","B0BS49SS5T","B0BS49SS5T","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","123","166","0.00","16.66","0","2","0.00","0","0","1.2"
"Finocam – Agenda Espiral 18 mois 2024-2025 2 jours par page Juillet 2024-Décembre 2025 (18 mois) Daisy International","B0CTMSK4TH","B0CTMSK4TH","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda Mara 18 mois 2024-2025 Semaine sur 2 pages Présentation verticale Juillet 2024-Décembre 2025 (18 mois) Noir International","B0CTMT163V","B0CTMT163V","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda Espiral 18 mois 2024-2025 Semaine sur 2 pages Présentation horizontale Juillet 2024-Décembre 2025 (18 mois) Pretty International","B0CTMT85NQ","B0CTMT85NQ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","0","24","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda Minimal 18 mois 2024-2025 Semaine sur 2 pages Présentation horizontale Juillet 2024-Décembre 2025 (18 mois) Daisy International","B0CTMTCBM9","B0CTMTCBM9","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1","1","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda Mara 18 mois 2024-2025 1 jour par page Juillet 2024-Décembre 2025 (18 mois) Daisy International","B0CTMTPNWP","B0CTMTPNWP","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","4","3","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda Espiral 18 mois 2024-2025 Semaine sur 2 pages Présentation horizontale Juillet 2024-Décembre 2025 (18 mois) Girl International","B0CTMVRP8F","B0CTMVRP8F","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1","21","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Cahier Design Uni Lion","B0D3F2C3XM","B0D3F2C3XM","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda Dynamic Berlín 2025 1 jour par page Janvier 2025 – Décembre 2025 (12 mois) Feuilles International","B0D3F4TLWC","B0D3F4TLWC","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","0","4","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Agenda Spirale You 2025 Semaine sur 1 page Présentation verticale Janvier 2025 – Décembre 2025 (12 mois) Spring International","B0D3F5RWPP","B0D3F5RWPP","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Cahier Modern Dotted- Pointillé Rose","B0D3F641RS","B0D3F641RS","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Cahier Modern Uni Noir","B0D3F695NM","B0D3F695NM","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Cahier Modern Dotted- Pointillé Bleu","B0D3F6J4QB","B0D3F6J4QB","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","1","0","0.00","0.00","0","0","0.00","0","0","0"
