"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Mara Agenda 18 mois 2026 2027 | Vue hebdomadaire verticale · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Semainier","B0GJSVYR6D","B0GJSVYR6D","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","427","0","204.12","0.00","14","0","14.58","0","3.3","0"
"Finocam Mara Agenda 18 mois 2026 2027 | Vue hebdomadaire verticale · Juillet 2026 - Décembre 2027 | Girl · International - Agenda Semainier","B0GJT5X8Y8","B0GJT5X8Y8","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","571","0","189.55","0.00","13","0","14.58","0","2.3","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | Vue hebdomadaire horizontale · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Semainier","B0GJT24P8W","B0GJT24P8W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","811","0","140.03","0.00","12","0","11.67","0","1.5","0"
"Finocam Ikon Agenda 16 mois 2026 2027 | 1 Jour par Page · Septembre 2026 - Décembre 2027 | Noir · International - Agenda Journalier","B0GJSS4V36","B0GJSS4V36","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","113","0","91.66","0.00","5","0","18.33","0","4.4","0"
"Finocam Ikon Agenda 16 mois 2026 2027 | Vue hebdomadaire verticale · Septembre 2026 - Décembre 2027 | Noir · International - Agenda Semainier","B0GJSPSHJ7","B0GJSPSHJ7","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","158","0","84.58","0.00","7","0","12.08","0","4.4","0"
"Finocam Calendrier magnétique Bloc 16 mois 2026 2027 | 1 Mois par Page · Septembre 2026 - Décembre 2027 | Neutre · Langue: Français - Calendrier Frigo","B0GMX2C7YD","B0GMX2C7YD","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","297","0","80.02","0.00","12","0","6.67","0","4","0"
"Finocam Ikon Agenda 16 mois 2026 2027 | 1 Jour par Page · Septembre 2026 - Décembre 2027 | Noir · International - Agenda Journalier","B0GJT437XZ","B0GJT437XZ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","50","0","73.33","0.00","2","0","36.66","0","4","0"
"Finocam Mínimal Agenda 18 mois 2026 2027 | Vue hebdomadaire horizontale · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Semainier","B0GJT7CD83","B0GJT7CD83","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","178","0","70.84","0.00","5","0","14.17","0","2.8","0"
"Finocam Mara Agenda 18 mois 2026 2027 | 1 Jour par Page · Juillet 2026 - Décembre 2027 | Pretty · International - Agenda Journalier","B0GJSSNL18","B0GJSSNL18","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","80","0","60.00","0.00","3","0","20.00","0","3.8","0"
"Finocam Mara Agenda 18 mois 2026 2027 | 1 Jour par Page · Juillet 2026 - Décembre 2027 | Daisy · International - Agenda Journalier","B0GJT2N36W","B0GJT2N36W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","286","0","60.00","0.00","3","0","20.00","0","1","0"
