"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Mara Agenda Semainier 18 mois 2026 2027| Girl","B0GJT5X8Y8","B0GJT5X8Y8","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","606","0","99.5","0","233.29","0.00","16","0","14.58","0","2.6","0"
"Finocam Espiral Agenda Semainier 18 mois 2026 2027 | Daisy","B0GJT24P8W","B0GJT24P8W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","1091","0","99.5","0","140.01","0.00","12","0","11.67","0","1.1","0"
"Finocam Mara Agenda Semainier 18 mois 2026 2027 | Pretty","B0GJTBHR9G","B0GJTBHR9G","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","178","0","100","0","131.23","0.00","9","0","14.58","0","5.1","0"
"Finocam Capri Agenda Semainier 16 mois 2026 2027 | Happy","B0GJT1MPDL","B0GJT1MPDL","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","470","0","99.8","0","125.00","0.00","10","0","12.50","0","2.1","0"
"Finocam Espiral Agenda Semainier 18 mois 2026 2027 | Girl","B0GJST9G3G","B0GJST9G3G","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","377","0","99.7","0","116.70","0.00","10","0","11.67","0","2.7","0"
"Finocam Espiral Agenda Semainier 18 mois 2026 2027 | Pretty","B0GJSX425K","B0GJSX425K","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","249","0","100","0","116.68","0.00","10","0","11.67","0","4","0"
"Finocam Dotted Agenda Semainier 16 mois 2026 2027 | Gala","B0GJSTYCBJ","B0GJSTYCBJ","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","334","0","99.1","0","116.28","0.00","9","0","12.92","0","2.7","0"
"Finocam Calendrier Magnétique Frigo 16 mois 2026 2027 · Langue: Français","B0GMX2C7YD","B0GMX2C7YD","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","397","0","100","0","106.72","0.00","16","0","6.67","0","4","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | 2 Jours par Page| Pretty","B0GJT3X9FM","B0GJT3X9FM","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","189","0","99.4","0","100.02","0.00","6","0","16.67","0","3.2","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Daisy","B0GJT7CD83","B0GJT7CD83","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","222","0","99.5","0","99.19","0.00","7","0","14.17","0","3.2","0"
"Finocam Calendrier Mural 2027 | Photos Paysages paradisiaques · Français","B0H394X3XF","B0H394X3XF","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","132","0","100","0","98.30","0.00","10","0","9.83","0","7.6","0"
"Finocam Ikon Agenda Semainier 16 mois 2026 2027 | Noir","B0GJSPSHJ7","B0GJSPSHJ7","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","202","0","98.2","0","84.57","0.00","7","0","12.08","0","3.5","0"
"Finocam Mara Agenda Journalier 18 mois 2026 2027 | Daisy","B0GJT2N36W","B0GJT2N36W","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","256","0","100","0","80.00","0.00","4","0","20.00","0","1.6","0"
"Finocam Ikon Agenda Journalier 16 mois 2026 2027 | Noir","B0GJSS4V36","B0GJSS4V36","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","119","0","96.3","0","73.32","0.00","4","0","18.33","0","3.4","0"
"Finocam Mara Agenda Semainier 18 mois 2026 2027 | Daisy","B0GJSVYR6D","B0GJSVYR6D","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","60","0","100","0","72.90","0.00","5","0","14.58","0","8.3","0"
"Finocam Espiral Agenda 18 mois 2026 2027 | 2 Jours par Page| Daisy","B0GJT23N8Z","B0GJT23N8Z","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","183","0","99.4","0","66.68","0.00","4","0","16.67","0","2.2","0"
"Finocam Event Livre d’or | Marron","B0GJSX5C2F","B0GJSX5C2F","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","36","0","100","0","63.34","0.00","2","0","31.67","0","5.6","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Pretty","B0GJT8HNSX","B0GJT8HNSX","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","70","0","98.5","0","56.68","0.00","4","0","14.17","0","5.7","0"
"Finocam Jazz Livre d’or | Crème","B0GJT12GDT","B0GJT12GDT","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","50","0","95.6","0","55.00","0.00","2","0","27.50","0","4","0"
"Finocam Ikon Agenda Journalier 16 mois 2026 2027 | Bordeaux","B0GJSRYFXP","B0GJSRYFXP","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","40","0","96.8","0","54.99","0.00","3","0","18.33","0","7.5","0"
"Finocam Capri Agenda Semainier 16 mois 2026 2027 | Power","B0GJSTVNYG","B0GJSTVNYG","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","110","0","100","0","50.00","0.00","4","0","12.50","0","3.6","0"
"Finocam Calendrier Mural 2027 | Photos Chiens et chats · Langue: Français","B0H396FPG4","B0H396FPG4","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","65","0","100","0","49.15","0.00","5","0","9.83","0","7.7","0"
"Finocam Calendrier Mural 2027 | Neutre · Langue: Français","B0H39BWXX5","B0H39BWXX5","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","54","0","100","0","42.64","0.00","8","0","5.33","0","14.8","0"
"Finocam Mara Agenda Journalier 18 mois 2026 2027| Pretty","B0GJSSNL18","B0GJSSNL18","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","81","0","100","0","40.00","0.00","2","0","20.00","0","2.5","0"
"Finocam Calendrier Mural 2027 | Photos Nature · Langue: Français","B0H38ZL8PK","B0H38ZL8PK","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","92","0","100","0","39.33","0.00","4","0","9.83","0","4.3","0"
"Finocam Calendrier Mural 2027 | Photos Couchers de soleil · Français","B0H38ZZ7DY","B0H38ZZ7DY","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","39","0","100","0","39.32","0.00","4","0","9.83","0","10.3","0"
"Finocam Dotted Agenda Semainier 16 mois 2026 2027 | Bloom","B0GJT2872V","B0GJT2872V","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","131","0","99.2","0","38.76","0.00","3","0","12.92","0","2.3","0"
"Finocam Ikon Agenda Semainier 16 mois 2026 2027 | Bordeaux","B0GJT88P6D","B0GJT88P6D","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","53","0","100","0","36.24","0.00","3","0","12.08","0","5.7","0"
"Finocam Mínimal Agenda 18 meses 2026 2027 Semanal · Girl · Internacional","B0GJSY5V4L","B0GJSY5V4L","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","49","0","100","0","33.34","0.00","2","0","16.67","0","4.1","0"
"Finocam Mínimal Agenda Semainier 18 mois 2026 2027 | Daisy","B0GJT5BXLY","B0GJT5BXLY","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","113","0","99.1","0","33.34","0.00","2","0","16.67","0","1.8","0"
"Finocam Event Livre d’or | Bleu","B0GJSXBT2B","B0GJSXBT2B","Finocam","22903203","Papier, enveloppes et fournitures d'expédition","6","0","80","0","31.67","0.00","1","0","31.67","0","16.7","0"
"Finocam Calendrier Mural 2027 | Neutre · Langue: Français","B0H3942Q8C","B0H3942Q8C","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","34","0","100","0","30.32","0.00","4","0","7.58","0","11.8","0"
"Finocam – Calendrier de bureau pour noter 2026 1 Mois par page Janvier – Décembre 2026 (12 mois) | Calendrier 2026 | Planificateur mensuel Neutre – Français","B0FG397PVK","B0FG397PVK","Finocam","Calendriers, agendas & organiseurs - Organisateurs de bureau","Organisateurs de bureau","157","32","100","0","25.00","20.00","5","4","5.00","0","3.2","12.5"
"Finocam - Agenda non daté Mytime Semaine sur 2 pages Présentation verticale International","B0BS49SS5T","B0BS49SS5T","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","166","167","98.7","0","24.99","24.99","3","3","8.33","0","1.8","1.8"
"Finocam Ikon Agenda 16 meses 2026 2027 Semanal· Negro · Internacional","B0GJT2R199","B0GJT2R199","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","36","0","96.8","0","22.50","0.00","1","0","22.50","0","2.8","0"
"Finocam Calendrier de Bureau 2027 | Neutre · Langue: Français","B0H394GTM5","B0H394GTM5","Finocam","Calendriers, agendas & organiseurs - Fournitures de bureau","Fournitures de bureau","61","0","100","0","20.68","0.00","4","0","5.17","0","6.6","0"
