"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Espir Label Planner 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Catalan Red","B0BS49L89H","B0BS49L89H","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 1 day page September 2023 - June 2024 (lesson year) + July and August summarized Black Basque","B0BS49M3R5","B0BS49M3R5","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Espir Label Planner 2023 2024 1 Day Page September 2023 - August 2024 (12 Months) Catalan Black","B0BS49P96H","B0BS49P96H","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – MyTime Undated International Planner Vertical Week View","B0BS49SS5T","B0BS49SS5T","Finocam","Planners & Personal Organizers","Office Organization","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner Espir Label 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Spanish Red","B0BS49SYKM","B0BS49SYKM","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Cloe 16 Months Planner 2023 2024 Week Horizontal View September 2023 - December 2024 (16 Months) Spanish Green","B0BS49TTTD","B0BS49TTTD","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 1 day page September 2023 - June 2024 (lesson year) + July and August summarized Black Catalan","B0BS49Z2PS","B0BS49Z2PS","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Flamingo Flexi Plain Design Notebook","B0BS4B2WT1","B0BS4B2WT1","Finocam","Notebooks & Composition Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Secondary diary 2023 2024 week horizontal view September 2023 - June 2024 (lesson year) + July and August summarized Lilac Español","B0BS4B9DPC","B0BS4B9DPC","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Teacher Diary 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Personalised Catalan Mandala","B0BS4B9Y1M","B0BS4B9Y1M","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Natural Planner 2023 2024 Week Horizontal View September 2023 - August 2024 (12 Months) Chrome Black Catalan","B0BS4BFNM5","B0BS4BFNM5","Finocam","Academic Planners & Appointment Books","Office Supplies","0","0","0.00","0.00","0","0","0.00","0","0","0"
