"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam – Diary Planner + Notes Week to View 2026 Week View + Notes January 2026 – December 2026 (12 months) Grey International","B0F9LFWG1M","B0F9LFWG1M","Finocam","Planners & Personal Organizers","Office Organization","5","0","13.61","0.00","1","0","13.61","0","20","0"
"Finocam – Nexo Notebook Hard Cover Dotted Turquoise | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5SSCSS","B0DV5SSCSS","Finocam","Notebooks & Composition Books","Office Supplies","2","0","9.35","0.00","1","0","9.35","0","50","0"
"Finocam – Nexo Notebook Hard Cover Plain Black | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5RT5F9","B0DV5RT5F9","Finocam","Notebooks & Composition Books","Office Supplies","4","2","9.04","0.00","1","0","9.04","0","25","0"
"Finocam – Nexo Notebook Hard Cover Dotted Turquoise | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5S697F","B0DV5S697F","Finocam","Notebooks & Composition Books","Office Supplies","4","0","6.81","0.00","1","0","6.81","0","25","0"
"FINOCAM – Nexo Notebook Soft Cover Dotted Navy Blue | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5SJ6GB","B0DV5SJ6GB","Finocam","Notebooks & Composition Books","Office Supplies","0","35","6.69","12.06","1","2","6.69","0","0","5.7"
"Finocam – Spiral 18-Month Planner 2025-2026 2 Days Page July 2025 – December 2026 (18 Months) Daisy International","B0DV5ST391","B0DV5ST391","Finocam","Academic Planners & Appointment Books","Office Supplies","11","11","2.94","0.00","1","0","2.94","0","9.1","0"
"Finocam – Minimal 18-Month Planner 2025-2026 Horizontal Week View July 2025 – December 2026 (18 Months) Pretty International","B0DV5RVY3Y","B0DV5RVY3Y","Finocam","Academic Planners & Appointment Books","Office Supplies","6","15","2.17","0.00","1","0","2.17","0","16.7","0"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Black","B00CP43UVA","B00CP43UVA","Finocam","Notebooks & Composition Books","Office Supplies","0","29","0.00","7.26","0","1","0.00","0","0","3.4"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Magenta","B00CP46HV0","B00CP46HV0","Finocam","Notebooks & Composition Books","Office Supplies","0","23","0.00","49.68","0","6","0.00","0","0","26.1"
"Finocam - Double spiral address book with elastic band closure | 48 sheets | A5 double spiral bound contacts organiser - colour Blue","B00CP48ZRY","B00CP48ZRY","Finocam","Notebooks & Composition Books","Office Supplies","0","17","0.00","16.34","0","2","0.00","0","0","11.8"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | Small double spiral bound contacts organiser 10 x 15 cm - colour Black","B00JMEII1I","B00JMEII1I","Finocam","Notebooks & Composition Books","Office Supplies","0","8","0.00","7.29","0","1","0.00","0","0","12.5"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | Small double spiral bound alphabetical contacts organiser 10 x 15 cm - colour Magenta","B00L9ZQ978","B00L9ZQ978","Finocam","Notebooks & Composition Books","Office Supplies","0","14","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Double spiral address book with elastic band closure | 48 sheets | Small double spiral bound contacts organiser 10 x 15 cm - colour Blue","B00L9ZQ9ZK","B00L9ZQ9ZK","Finocam","Notebooks & Composition Books","Office Supplies","0","51","0.00","14.45","0","2","0.00","0","0","3.9"
"Finocam - Double Spiral Alphabetical Address Book and Elastic Band Closure | 48 Sheets | A5 Double Spiral Bound Alphabetical Contacts Organiser - Colour Magenta","B01D025HWK","B01D025HWK","Finocam","Notebooks & Composition Books","Office Supplies","0","11","0.00","6.63","0","1","0.00","0","0","9.1"
"Finocam - Double Spiral Alphabetical Address Book and Elastic Band Closure | 48 Sheets | Small Alphabetical Contacts Organiser Bound with Double Spiral 10 x 15 cm - Colour Blue","B01D025JGY","B01D025JGY","Finocam","Notebooks & Composition Books","Office Supplies","0","66","0.00","13.49","0","2","0.00","0","0","3"
