"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam – Nexo Notebook Hard Cover Plain Navy Blue | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5Q5VJ3","B0DV5Q5VJ3","Finocam","Notebooks & Composition Books","Office Supplies","9","0","9.28","0.00","1","0","9.28","0","11.1","0"
"Finocam – Nexo Notebook Hard Cover Dotted Turquoise | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5SSCSS","B0DV5SSCSS","Finocam","Notebooks & Composition Books","Office Supplies","6","0","9.24","0.00","1","0","9.24","0","16.7","0"
"Finocam – Nexo Notebook with Hard Cover Horizontal Ruled Black | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing","B0DV5STGHK","B0DV5STGHK","Finocam","Notebooks & Composition Books","Office Supplies","4","1","5.64","0.00","1","0","5.64","0","25","0"
"Finocam – Nexo Notebook Hard Cover Dotted Pink | A5 Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV6459KY","B0DV6459KY","Finocam","Notebooks & Composition Books","Office Supplies","7","0","5.07","0.00","1","0","5.07","0","14.3","0"
"FINOCAM – Nexo Notebook Soft Cover Plain Red | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5SB5RX","B0DV5SB5RX","Finocam","Notebooks & Composition Books","Office Supplies","2","3","4.36","0.00","1","0","4.36","0","50","0"
"Finocam – Mara 18-Month Planner 2025-2026 Page-A-Day July 2025 – December 2026 (18 Months) Girl International","B0DV5RTJMB","B0DV5RTJMB","Finocam","Academic Planners & Appointment Books","Office Supplies","16","47","4.32","18.34","1","1","4.32","0","6.3","2.1"
"Finocam – Plain Flamingo Design Notebook, Soft Cover, Micro-Perforated Pages, Elastic closure, Pen Loop, 144 Pages","B0D3F68K7V","B0D3F68K7V","Finocam","Notebooks & Composition Books","Office Supplies","6","10","3.92","27.48","1","4","3.92","0","16.7","40"
"FINOCAM – Nexo Notebook Soft Cover Plain Red | Large Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal for Writing and Drawing","B0DV5SYNWZ","B0DV5SYNWZ","Finocam","Notebooks & Composition Books","Office Supplies","11","0","3.65","0.00","1","0","3.65","0","9.1","0"
"Finocam – Nexo Notebook Hard Cover Dotted Turquoise | Small Notebook with Micro-Perforated Pages | Pocket and Pen Holder | 72 Pages, Ideal as a Bullet Journal","B0DV5S697F","B0DV5S697F","Finocam","Notebooks & Composition Books","Office Supplies","7","0","2.73","0.00","1","0","2.73","0","14.3","0"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Black","B00CP43UVA","B00CP43UVA","Finocam","Notebooks & Composition Books","Office Supplies","0","19","0.00","8.06","0","1","0.00","0","0","5.3"
"Finocam - Double spiral address book and elastic band closure | 48 sheets | A5 double spiral bound alphabetical contacts organiser - colour Magenta","B00CP46HV0","B00CP46HV0","Finocam","Notebooks & Composition Books","Office Supplies","0","23","0.00","7.23","0","1","0.00","0","0","4.3"
"Finocam - Double spiral address book with elastic band closure | 48 sheets | A5 double spiral bound contacts organiser - colour Blue","B00CP48ZRY","B00CP48ZRY","Finocam","Notebooks & Composition Books","Office Supplies","0","9","0.00","7.90","0","1","0.00","0","0","11.1"
