"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Ikon Planer 16 Monate 2026 2027 | Terminkalender | Schwarz","B0GJT437XZ","B0GJT437XZ","Finocam","Terminkalender","22903000","12","0","100","0","31.43","0.00","1","0","31.43","0","8.3","0"
"Finocam Espiral Planer 18 Monate 2026 2027 | Terminkalender | Girl","B0GJST9G3G","B0GJST9G3G","Finocam","Terminkalender","22903000","75","0","100","0","30.00","0.00","3","0","10.00","0","4","0"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Kleines Adressbuch (Telefonbuch) 10 x 15 cm Einband mit doppelter Spiralbindung - Farbe Blau","B00L9ZQ9ZK","B00L9ZQ9ZK","Finocam","22903082","22903000","34","34","100","0","29.61","8.40","3","1","9.87","0","8.8","2.9"
"Finocam - Notizbuch Nexo Flexibler Einband Blanko Schwarz | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Blätter, Ideal zum Schreiben und Zeichnen","B0DV5S2BDS","B0DV5S2BDS","Finocam","Notizblöcke","22903000","4","2","100","0","29.15","0.00","3","0","9.72","0","75","0"
"Finocam Mínimal Planer 18 Monate 2026 2027 | Terminkalender | Blau","B0GJSXGHPV","B0GJSXGHPV","Finocam","Terminkalender","22903000","15","0","100","0","28.58","0.00","2","0","14.29","0","13.3","0"
"Finocam Mínimal Planer 18 Monate 2026 2027 | Terminkalender | Girl","B0GJSY5V4L","B0GJSY5V4L","Finocam","Terminkalender","22903000","46","0","100","0","28.58","0.00","2","0","14.29","0","4.3","0"
"Finocam Terminkalender 2027 – Monatskalender","B0GYP7BL44","B0GYP7BL44","Finocam","Terminkalender","22903000","5","0","100","0","26.04","0.00","3","0","8.68","0","60","0"
"Finocam Mara Planer 18 Monate 2026 2027 | Terminkalender| Girl","B0GJT5X8Y8","B0GJT5X8Y8","Finocam","Terminkalender","22903000","177","0","100","0","25.00","0.00","2","0","12.50","0","1.1","0"
"Finocam Jazz Unterschriftenbuch | Creme","B0GJT12GDT","B0GJT12GDT","Finocam","Kalender, Planer & Organizer - Büroorganisation","Büroorganisation","7","0","100","0","23.57","0.00","1","0","23.57","0","14.3","0"
"Finocam Ikon Planer 16 Monate 2026 2027 | Terminkalender | Schwarz","B0GJSPSHJ7","B0GJSPSHJ7","Finocam","Terminkalender","22903000","25","0","100","0","20.70","0.00","2","0","10.35","0","8","0"
"Finocam Espiral Planer 18 Monate 2026 2027 | Terminkalender | Pretty","B0GJSX425K","B0GJSX425K","Finocam","Terminkalender","22903000","43","0","100","0","20.00","0.00","2","0","10.00","0","4.7","0"
"Finocam Espiral Planer 18 Monate 2026 2027 | Terminkalender | Daisy","B0GJT24P8W","B0GJT24P8W","Finocam","Terminkalender","22903000","113","0","100","0","20.00","0.00","2","0","10.00","0","1.8","0"
"Finocam Espiral Planer 18 Monate 2026 2027 | Terminkalender | Blau","B0GJT3XJSG","B0GJT3XJSG","Finocam","Terminkalender","22903000","55","0","100","0","20.00","0.00","2","0","10.00","0","3.6","0"
"Finocam Ikon Planer 16 Monate 2026 2027 | Terminkalender | Schwarz","B0GJT2R199","B0GJT2R199","Finocam","Terminkalender","22903000","11","0","100","0","19.29","0.00","1","0","19.29","0","9.1","0"
"FINOCAM - Notizbuch Nexo Flexibler Einband Glatt Marineblau | Kleines Notizbuch mit perforierten Blättern | Innentasche und Stifthalter | 72 Blätter, Ideal zum Schreiben und Zeichnen","B0DV5S1CFS","B0DV5S1CFS","Finocam","Notizblöcke","22903000","1","0","100","0","19.08","0.00","2","0","9.54","0","200","0"
"Finocam Dotted Planer 16 Monate 2026 2027 | Terminkalender | Bloom","B0GJT2872V","B0GJT2872V","Finocam","Terminkalender","22903000","31","0","100","0","18.08","0.00","1","0","18.08","0","3.2","0"
"Finocam Planer You 2027 | Terminkalender | Cotton | Tagesplaner","B0GYP2Q9H4","760213127","Finocam","Terminkalender","22903000","0","0","0","0","17.23","0.00","1","0","17.23","0","0","0"
"Finocam Ikon Planer 16 Monate 2026 2027 | Terminkalender | Schwarz","B0GJSS4V36","B0GJSS4V36","Finocam","Terminkalender","22903000","15","0","100","0","15.71","0.00","1","0","15.71","0","6.7","0"
"Finocam - Mytime Undatierter Terminplaner Wochenansicht vertikal International","B0BS49SS5T","B0BS49SS5T","Finocam","Terminkalender","22903000","78","106","100","0","14.29","14.28","2","2","7.14","0","2.6","1.9"
