"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Schwarz | Notizbuch DIN A5 mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV642H4Y","B0DV642H4Y","Finocam","Notizblöcke","22903000","115","179","100","100","238.79","30.24","25","3","9.55","0","21.7","1.7"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Schwarz","B00CP43UVA","B00CP43UVA","Finocam","22903082","22903000","406","257","99","100","235.68","65.07","28","5","8.42","0","6.9","1.9"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Magenta","B00CP46HV0","B00CP46HV0","Finocam","22903082","22903000","131","17","100","100","141.02","28.01","17","3","8.30","0","13","17.6"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Magenta","B07P6G7LZ7","B07P6G7LZ7","Finocam","22903082","22903000","187","36","100","100","110.38","19.32","12","2","9.20","0","6.4","5.6"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Blau","B00CP48ZRY","B00CP48ZRY","Finocam","22903082","22903000","69","40","100","100","89.93","28.98","10","3","8.99","0","14.5","7.5"
"Finocam - A5 Dokumentenmappe NOPAL - Schwarz: Dokumentenmappe mit Reißverschluss, Innentasche für Tablet, Notizblockmappe aus Biomaterial auf Kaktusbasis","B0DV5SNSCV","B0DV5SNSCV","Finocam","22903151","22903000","68","0","100","0","85.71","0.00","3","0","28.57","0","4.4","0"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Schwarz | Kleines Notizbuch mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5RRRB2","B0DV5RRRB2","Finocam","Notizblöcke","22903000","112","262","100","100","83.59","56.50","13","8","6.43","0","11.6","3.1"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Kleiner Terminplaner alphabetisch 10 x 15 cm mit doppelter Spiralbindung - Farbe Magenta","B07P6G7LYZ","B07P6G7LYZ","Finocam","22903082","22903000","128","19","100","100","71.40","-0.58","10","0","7.14","0","7.8","0"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Magenta","B01D025HWK","B01D025HWK","Finocam","22903082","22903000","93","67","100","100","70.15","38.64","8","4","8.77","0","8.6","6"
"Finocam Ikon Planer 16 Monate 2026 2027 | Terminkalender | Schwarz","B0GJT437XZ","B0GJT437XZ","Finocam","Terminkalender","22903000","17","0","100","0","62.86","0.00","2","0","31.43","0","11.8","0"
