"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Schwarz","B00CP43UVA","B00CP43UVA","Finocam","22903082","22903000","301","325","100","100","241.80","43.19","29","4","8.34","0","9.6","1.2"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Magenta","B07P6G7LZ7","B07P6G7LZ7","Finocam","22903082","22903000","161","56","100","100","167.83","28.98","20","3","8.39","0","12.4","5.4"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Blau","B00CP48ZRY","B00CP48ZRY","Finocam","22903082","22903000","69","14","98.2","100","109.87","18.80","13","2","8.45","0","18.8","14.3"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Adressbuch (Telefonbuch) A5 Einband mit doppelter Spiralbindung - Farbe Magenta","B00CP46HV0","B00CP46HV0","Finocam","22903082","22903000","63","55","100","100","106.73","26.57","13","3","8.21","0","20.6","5.5"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Schwarz","B07P6G6T1T","B07P6G6T1T","Finocam","22903082","22903000","140","112","100","100","90.31","66.46","11","7","8.21","0","7.9","6.3"
"Finocam Mara Planer 18 Monate 2026 2027 | Terminkalender| Girl","B0GJT5X8Y8","B0GJT5X8Y8","Finocam","Terminkalender","22903000","202","0","100","0","87.50","0.00","7","0","12.50","0","3.5","0"
"Finocam Mínimal Planer 18 Monate 2026 2027 | Terminkalender | Daisy","B0GJT5BXLY","B0GJT5BXLY","Finocam","Terminkalender","22903000","54","0","100","0","71.44","0.00","5","0","14.29","0","9.3","0"
"Finocam - Alphabetisches Register mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Terminplaner alphabetisch A5 mit doppelter Spiralbindung - Farbe Magenta","B01D025HWK","B01D025HWK","Finocam","22903082","22903000","91","101","100","100","65.68","38.64","8","4","8.21","0","8.8","4"
"Finocam - Adressbuch (Telefonbuch) mit doppelter Spiralbindung und Gummibandverschluss | 48 Blatt | Kleines Adressbuch (Telefonbuch) 10 x 15 cm Einband mit doppelter Spiralbindung - Farbe Magenta","B00L9ZQ978","B00L9ZQ978","Finocam","22903082","22903000","83","68","100","100","64.26","32.83","9","4","7.14","0","10.8","5.9"
"Finocam - Notizbuch Nexo Flexibler Einband Dotted-Gepunktet Schwarz | Kleines Notizbuch mit perforierten Blättern | Innentasche und Stifthalter | 72 Seiten, Ideal als Bullet Journal","B0DV5RRRB2","B0DV5RRRB2","Finocam","Notizblöcke","22903000","117","208","100","98.7","55.07","33.50","8","5","6.88","0","6.8","2.4"
