"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","buyBoxPercentage","priorBuyBoxPercentage","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"FINOCAM - Notatnik Nexo Oprawa Miękka Dotted - W kropki Czarny | Notatnik Mały Dziurkowane strony | Kieszonkowy z Uchwytem na Długopis | 72 Strony, Idealny do dziennika typu Bullet Journal","B0DV5RRRB2","B0DV5RRRB2","Finocam","Kalendarze biurkowe","22903000","3","2","100","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Spiralny 18 miesięcy 2025 2026 Tydzień w Widoku Poziomym lipiec 2025 - grudzień 2026 (18 miesięcy) Czerwony Międzynarodowy","B0DV5S2ZTW","B0DV5S2ZTW","Finocam","Kalendarze biurkowe","22903000","2","11","100","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Mara 18 miesięcy 2025 2026 Tydzień w Widoku Pionowym lipiec 2025 - grudzień 2026 (18 miesięcy) Czerwony Międzynarodowy","B0DV5SM6CT","B0DV5SM6CT","Finocam","Kalendarze biurkowe","22903000","1","17","100","100","0.00","49.34","0","1","0.00","0","0","5.9"
"FINOCAM - Notatnik Nexo Oprawa Miękka Dotted - W kropki Czarny | Notatnik Duży Dziurkowane strony | Kieszonkowy z Uchwytem na Długopis | 72 Strony, Idealny do dziennika typu Bullet Journal","B0DV5SQ34P","B0DV5SQ34P","Finocam","Kalendarze biurkowe","22903000","2","4","100","100","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM - Notatnik Nexo Oprawa Miękka Gładki Fuksja | Notatnik Mały Dziurkowane strony | Kieszonkowy z Uchwytem na Długopis | 72 Strony, Idealny do Pisania i Rysowania","B0DV5SRQ7Q","B0DV5SRQ7Q","Finocam","Kalendarze biurkowe","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM - Notatnik Nexo Oprawa Miękka Dotted - W kropki Czarny | Notatnik A5 Dziurkowane strony | Kieszonkowy z Uchwytem na Długopis | 72 Strony, Idealny do dziennika typu Bullet Journal","B0DV642H4Y","B0DV642H4Y","Finocam","Kalendarze biurkowe","22903000","22","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner 2026 Vertical Week to View | January - December (12 months) | A5 Planner with elastic band and knitted tape | Softcover Capri - Black - International","B0F9L9M53Z","B0F9L9M53Z","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Wall Calendar 2026 30x30 cm Month to View January, December 2026 + Sep- Dec 2025 (4 months) reduced, Images Amsterdam, International","B0F9L9VB83","B0F9L9VB83","Finocam","Kalendarze","Organizacja przestrzeni biurowej","0","6","0","100","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner Month to View 2026 Month to View January 2026 – December 2026 (12 months) Grey International","B0F9LBV1D3","B0F9LBV1D3","Finocam","Kalendarze","Organizacja przestrzeni biurowej","3","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Desktop Calendar 2026 Month to View January, December 2026 + Sep-Dec 2025 (4 months) reduced, Images Madrid, International","B0F9LBV7J5","B0F9LBV7J5","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Planner 2026 Horizontal Week to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Optimal - Emma - International","B0F9LCGBLL","B0F9LCGBLL","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiral Planner 2026 1 Day to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover You - Cotton - International","B0F9LFH6JW","B0F9LFH6JW","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam – Diary Planner + Notes Week to View 2026 Week View + Notes January 2026 – December 2026 (12 months) Grey International","B0F9LFWG1M","B0F9LFWG1M","Finocam","Kalendarze","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Desktop Calendar 2026 Month to View January, December 2026 + Sep-Dec 2025 (4 months) reduced, Images Nature, International","B0F9LGMHYG","B0F9LGMHYG","Finocam","Kalendarze","Organizacja przestrzeni biurowej","2","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Spiral Planner 2026 Vertical Week to View | January - December (12 months) | Annual Planner 2026 with elastic band | Double Spiral Hardcover Spiral Alma - Coral - International","B0F9LGZJR2","B0F9LGZJR2","Finocam","Kalendarze","Organizacja przestrzeni biurowej","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Weekly Diary 16–Month | Black","B0GJSPSHJ7","B0GJSPSHJ7","Finocam","Kalendarze biurkowe","22903000","13","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Daily Diary 16–Month | Daily Diary | Burgundy","B0GJSRYFXP","B0GJSRYFXP","Finocam","Kalendarze biurkowe","22903000","8","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Daily Diary 16–Month | Daily Diary | Black","B0GJSS4V36","B0GJSS4V36","Finocam","Kalendarze biurkowe","22903000","15","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Daily Diary 18–Month | Daily Diary | Pretty","B0GJSSNL18","B0GJSSNL18","Finocam","Kalendarze biurkowe","22903000","25","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Espiral Weekly Diary 18–Month | Weekly Diary | Girl","B0GJST9G3G","B0GJST9G3G","Finocam","Kalendarze biurkowe","22903000","7","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Black · International - Planner","B0GJSTMQJV","B0GJSTMQJV","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","12","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Capri Weekly Diary 16–Month | Power","B0GJSTVNYG","B0GJSTVNYG","Finocam","Kalendarze biurkowe","22903000","25","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Dotted Weekly Diary 16–Month | Gala","B0GJSTYCBJ","B0GJSTYCBJ","Finocam","Kalendarze biurkowe","22903000","21","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Weekly Diary 18–Month | Weekly Diary | Daisy","B0GJSVYR6D","B0GJSVYR6D","Finocam","Kalendarze biurkowe","22903000","0","0","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Black · International - Planner","B0GJSWVPBM","B0GJSWVPBM","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Espiral Weekly Diary 18–Month | Weekly Diary | Pretty","B0GJSX425K","B0GJSX425K","Finocam","Kalendarze biurkowe","22903000","9","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mínimal Weekly Diary 18–Month | Weekly Diary | Blue","B0GJSXGHPV","B0GJSXGHPV","Finocam","Kalendarze biurkowe","22903000","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Blue · International - Planner","B0GJSXHGWN","B0GJSXHGWN","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","3","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Undated Planning Sticky Notes F01 | Monthly View - Personal organisation","B0GJSXHVPD","B0GJSXHVPD","Finocam","Karteczki samoprzylepne","22903000","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mínimal Weekly Diary 18–Month | Weekly Diary | Girl","B0GJSY5V4L","B0GJSY5V4L","Finocam","Kalendarze biurkowe","22903000","7","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Weekly Diary 18–Month | Weekly Diary | Blue","B0GJSYLDLW","B0GJSYLDLW","Finocam","Kalendarze biurkowe","22903000","73","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Capri Weekly Diary 16–Month | Jungle","B0GJT13HPB","B0GJT13HPB","Finocam","Kalendarze biurkowe","22903000","10","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Blue · International - Planner","B0GJT1BW7Z","B0GJT1BW7Z","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","2","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Monthly Planner | Monthly View | Green · International - Planner","B0GJT1DK7K","B0GJT1DK7K","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","3","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Espiral Weekly Diary 18–Month | Weekly Diary | Daisy","B0GJT24P8W","B0GJT24P8W","Finocam","Kalendarze biurkowe","22903000","8","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mínimal Weekly Diary 18–Month | Weekly Diary | Blue","B0GJT25LQ1","B0GJT25LQ1","Finocam","Kalendarze biurkowe","22903000","8","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Dotted Weekly Diary 16–Month | Bloom","B0GJT2872V","B0GJT2872V","Finocam","Kalendarze biurkowe","22903000","9","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Daily Diary 18–Month | Daily Diary | Daisy","B0GJT2N36W","B0GJT2N36W","Finocam","Kalendarze biurkowe","22903000","5","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Weekly Diary 16–Month | Black","B0GJT2R199","B0GJT2R199","Finocam","Kalendarze biurkowe","22903000","4","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Espiral Diary 18–Month | 2 Days per Page | Black","B0GJT2SJZK","B0GJT2SJZK","Finocam","Kalendarze biurkowe","22903000","15","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Haiku Undated Weekly Planner | Weekly View Vertical Layout | Green · International - Planner","B0GJT2SKB5","B0GJT2SKB5","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","7","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Espiral Weekly Diary 18–Month | Weekly Diary | Blue","B0GJT3XJSG","B0GJT3XJSG","Finocam","Kalendarze biurkowe","22903000","5","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Ikon Daily Diary 16–Month | Black","B0GJT437XZ","B0GJT437XZ","Finocam","Kalendarze biurkowe","22903000","10","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Bari Undated Weekly Planner | Weekly View Horizontal Layout · International","B0GJT4C7DJ","B0GJT4C7DJ","Finocam","Planery i organizery osobiste","Organizacja przestrzeni biurowej","1","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mínimal Weekly Diary 18–Month | Weekly Diary | Girl","B0GJT4J9FN","B0GJT4J9FN","Finocam","Kalendarze biurkowe","22903000","29","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam Mara Weekly Diary 18–Month | Weekly Diary | Black","B0GJT4P82S","B0GJT4P82S","Finocam","Kalendarze biurkowe","22903000","24","0","100","0","0.00","0.00","0","0","0.00","0","0","0"
