"title","asin","vpi","brand","categoryLabel","parentCategory","glanceViews","priorGlanceViews","orderedRevenue","priorOrderedRevenue","orderedUnits","priorOrderedUnits","avgPrice","unitsPerGlanceViews","conversionRate","priorConversionRate"
"Finocam Mínimal Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Black · International - Week-to-view diary","B0GJT64GM9","636110327","Finocam","Kalendarze biurkowe","22903000","3","0","69.11","0.00","1","0","69.11","0","33.3","0"
"Finocam Dotted Weekly Planner 16-Month | Weekly View Horizontal Layout · September 2026 to December 2027 | Black · International - Week-to-view diary","B0GJSV82XJ","626900127","Finocam","Kalendarze biurkowe","22903000","15","0","53.56","0.00","1","0","53.56","0","6.7","0"
"Finocam Espiral Weekly Planner 18-Month | Weekly View Horizontal Layout · July 2026 to December 2027 | Daisy · International - Week-to-view diary","B0GJT24P8W","636241227","Finocam","Kalendarze biurkowe","22903000","3","0","48.37","0.00","1","0","48.37","0","33.3","0"
"FINOCAM - Notatnik Nexo Oprawa Miękka Dotted - W kropki Czarny | Notatnik A5 Dziurkowane strony | Kieszonkowy z Uchwytem na Długopis | 72 Strony, Idealny do dziennika typu Bullet Journal","B0DV642H4Y","8058101","Finocam","Kalendarze biurkowe","22903000","5","0","39.74","0.00","1","0","39.74","0","20","0"
"Finocam - Etui Seria 00 Czarny","B0159DGBXC","5095260","Finocam","Kalendarze biurkowe","22903000","3","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Uniwersalny terminarz bez dat Mytime Każdy dzień na osobnej stronie Międzynarodowy","B0BS4996B7","8015101","Finocam","Notatniki i zeszyty szkolne","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Uniwersalny terminarz bez dat Mytime Tydzień w widoku pionowym Międzynarodowy","B0BS49SS5T","8015001","Finocam","Notatniki i zeszyty szkolne","22903000","4","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Flexi Modern Dotted - W kropki Czarny","B0BS4CN4T2","B0BS4CN4T2","Finocam","Notatniki i zeszyty szkolne","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Mara 18 Miesięcy 2024 2025 Tydzień w Widoku Pionowym lipiec 2024 - grudzień 2025 (18 miesięcy) Czarny Międzynarodowy","B0CTMT163V","636300325","Finocam","Planery i terminarze","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Mínimal 18 miesięcy 2024 2025 Tydzień w Widoku Poziomym lipiec 2024 - grudzień 2025 (18 miesięcy) Pretty Międzynarodowy","B0CTMT9LVP","636100925","Finocam","Planery i terminarze","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Notatnik Modern Dotted - W kropki Niebieski","B0D3F6J4QB","8052001","Finocam","Kalendarze biurkowe","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Ikon 16 miesięcy 2025 2026 Każdy Dzień na Osobnej Stronie wrzesień 2025 - grudzień 2026 (16 miesięcy) Czarny Międzynarodowy","B0DV5RCDVW","626730126","Finocam","Kalendarze biurkowe","22903000","0","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Capri 16 miesięcy 2025 2026 Tydzień w W lipiec 2025 - grudzień 2026 (16 miesięcy) Dżungla Międzynarodowy","B0DV5RFYDJ","627320126","Finocam","Kalendarze biurkowe","22903000","0","1","0.00","51.22","0","1","0.00","0","0","100"
"Finocam - Terminarz Dotted 16 miesięcy 2025 2026 Tydzień w Widoku Poziomym lipiec 2025 - grudzień 2026 (16 miesięcy) Czarny Międzynarodowy","B0DV5RJC23","626900126","Finocam","Kalendarze biurkowe","22903000","1","6","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Mara 18 miesięcy 2025 2026 Tydzień w Widoku Pionowym lipiec 2025 - grudzień 2026 (18 miesięcy) Pretty Międzynarodowy","B0DV5RMVZL","636300926","Finocam","Kalendarze biurkowe","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Mara 18 miesięcy 2025 2026 Każdy Dzień na Osobnej Stronie lipiec 2025 - grudzień 2026 (18 miesięcy) Daisy Międzynarodowy","B0DV5RMXHG","636311226","Finocam","Kalendarze biurkowe","22903000","2","8","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Dotted 16 miesięcy 2025 2026 Tydzień w Widoku Poziomym lipiec 2025 - grudzień 2026 (16 miesięcy) Bloom Międzynarodowy","B0DV5RR7Z5","626900326","Finocam","Kalendarze biurkowe","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"FINOCAM - Notatnik Nexo Oprawa Miękka Dotted - W kropki Czarny | Notatnik Mały Dziurkowane strony | Kieszonkowy z Uchwytem na Długopis | 72 Strony, Idealny do dziennika typu Bullet Journal","B0DV5RRRB2","8058001","Finocam","Kalendarze biurkowe","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Mara 18 miesięcy 2025 2026 Każdy Dzień na Osobnej Stronie lipiec 2025 - grudzień 2026 (18 miesięcy) Girl Międzynarodowy","B0DV5RTJMB","636310526","Finocam","Kalendarze biurkowe","22903000","0","7","0.00","78.54","0","1","0.00","0","0","14.3"
"FINOCAM - Notatnik Nexo Oprawa Miękka Dotted - W kropki Granatowy | Notatnik A5 Dziurkowane strony | Kieszonkowy z Uchwytem na Długopis | 72 Strony, Idealny do dziennika typu Bullet Journal","B0DV5RV4DS","8058102","Finocam","Kalendarze biurkowe","22903000","1","0","0.00","0.00","0","0","0.00","0","0","0"
"Finocam - Terminarz Dotted 16 miesięcy 2025 2026 Tydzień w Widoku Poziomym wrzesień 2025 - grudzień 2026 (16 miesięcy) Różowy Międzynarodowy","B0DV5S3DLT","626900526","Finocam","Kalendarze biurkowe","22903000","0","3","0.00","0.00","0","0","0.00","0","0","0"
